"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"12/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.515.000,00";"23.178.293,80";"26.466.103,68";"445.906,96";
"05/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"250.000,00";"12.960.833,88";"12.425.383,21";"708.654,18";
"06/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"3.177.261,71";"11.522.269,66";"7.566.651,82";"1.742.385,34";
"02/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"40.291.666,67";"0,00";"0,00";"18.960.529,52";
"01/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.000.000,00";"0,00";"0,00";"18.815.805,42";
"11/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"70.649.952,64";"8.738.223,65";"6.448.021,33";"73.557,23";
"03/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"4.632.271,41";"3.724.581,72";"2.577.204,72";
"09/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"27.117.351,37";"5.085.339,22";"6.452.496,39";"3.978.430,25";
"10/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"7.323.529,32";"7.462.082,29";"7.934.308,77";"628.730,46";
"07/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"16.717.011,48";"16.153.002,41";"13.731.295,30";"250.592,34";
"08/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"7.840.635,23";"15.090.187,19";"53.619,50";
"04/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"20.105.726,81";"8.274.927,83";"5.993.849,97";"1.358.492,21";
