Categoria: Todas as categorias

Mês,vacina autismo: (Brasil),vacina causa doença: (Brasil),vacina perigo: (Brasil)
2015-01,0,0,0
2015-02,10,0,10
2015-03,9,9,26
2015-04,9,0,0
2015-05,9,0,18
2015-06,9,0,9
2015-07,17,8,25
2015-08,8,25,8
2015-09,0,8,17
2015-10,24,16,8
2015-11,16,8,0
2015-12,0,9,9
2016-01,9,17,9
2016-02,9,0,27
2016-03,0,0,0
2016-04,17,0,83
2016-05,24,8,48
2016-06,17,0,17
2016-07,0,0,0
2016-08,17,17,0
2016-09,9,0,0
2016-10,25,17,8
2016-11,8,17,17
2016-12,0,9,9
2017-01,0,8,17
2017-02,36,0,0
2017-03,7,0,37
2017-04,0,16,8
2017-05,16,0,32
2017-06,17,17,17
2017-07,0,8,17
2017-08,0,8,15
2017-09,16,0,65
2017-10,8,0,15
2017-11,8,0,8
2017-12,17,8,17
2018-01,23,15,100
2018-02,34,0,92
2018-03,7,0,15
2018-04,23,15,15
2018-05,7,0,22
2018-06,15,15,15
2018-07,8,0,15
2018-08,29,7,50
2018-09,45,30,15
2018-10,14,0,14
2018-11,15,0,23
2018-12,17,0,9
2019-01,8,8,8
2019-02,16,0,8
2019-03,47,0,15
2019-04,55,31,0
2019-05,36,36,22
2019-06,15,53,23
2019-07,22,7,7
2019-08,28,21,28
2019-09,21,21,0
2019-10,13,7,0
2019-11,20,7,7
2019-12,22,15,0
2020-01,7,0,20
2020-02,14,0,28
2020-03,53,23,23
2020-04,35,17,29
2020-05,28,22,44
2020-06,34,51,17
2020-07,24,18,24
2020-08,18,18,0
2020-09,18,30,24
2020-10,19,19,25
2020-11,0,31,6
